{item} => {itemset}:  support %       confidence % 
{F} => {P,Q}:  6.2500 %        50.0000 %        
{P} => {F,Q}:  6.2500 %        33.3333 %        
{Q} => {F,P}:  6.2500 %        25.0000 %        
{F} => {I,P}:  6.2500 %        50.0000 %        
{I} => {F,P}:  6.2500 %        20.0000 %        
{P} => {F,I}:  6.2500 %        33.3333 %        
{F} => {I,Q}:  6.2500 %        50.0000 %        
{I} => {F,Q}:  6.2500 %        20.0000 %        
{Q} => {F,I}:  6.2500 %        25.0000 %        
{G} => {N,Y}:  6.2500 %        100.0000 %        
{N} => {G,Y}:  6.2500 %        50.0000 %        
{Y} => {G,N}:  6.2500 %        50.0000 %        
{H} => {M,Q}:  6.2500 %        33.3333 %        
{M} => {H,Q}:  6.2500 %        33.3333 %        
{Q} => {H,M}:  6.2500 %        25.0000 %        
{H} => {R,Z}:  6.2500 %        33.3333 %        
{R} => {H,Z}:  6.2500 %        25.0000 %        
{Z} => {H,R}:  6.2500 %        100.0000 %        
{H} => {O,R}:  6.2500 %        33.3333 %        
{O} => {H,R}:  6.2500 %        25.0000 %        
{R} => {H,O}:  6.2500 %        25.0000 %        
{H} => {R,W}:  6.2500 %        33.3333 %        
{R} => {H,W}:  6.2500 %        25.0000 %        
{W} => {H,R}:  6.2500 %        25.0000 %        
{H} => {K,R}:  6.2500 %        33.3333 %        
{K} => {H,R}:  6.2500 %        50.0000 %        
{R} => {H,K}:  6.2500 %        25.0000 %        
{H} => {R,Y}:  6.2500 %        33.3333 %        
{R} => {H,Y}:  6.2500 %        25.0000 %        
{Y} => {H,R}:  6.2500 %        50.0000 %        
{H} => {O,Z}:  6.2500 %        33.3333 %        
{O} => {H,Z}:  6.2500 %        25.0000 %        
{Z} => {H,O}:  6.2500 %        100.0000 %        
{H} => {W,Z}:  6.2500 %        33.3333 %        
{W} => {H,Z}:  6.2500 %        25.0000 %        
{Z} => {H,W}:  6.2500 %        100.0000 %        
{H} => {K,Z}:  6.2500 %        33.3333 %        
{K} => {H,Z}:  6.2500 %        50.0000 %        
{Z} => {H,K}:  6.2500 %        100.0000 %        
{H} => {Y,Z}:  6.2500 %        33.3333 %        
{Y} => {H,Z}:  6.2500 %        50.0000 %        
{Z} => {H,Y}:  6.2500 %        100.0000 %        
{H} => {O,W}:  6.2500 %        33.3333 %        
{O} => {H,W}:  6.2500 %        25.0000 %        
{W} => {H,O}:  6.2500 %        25.0000 %        
{H} => {K,O}:  6.2500 %        33.3333 %        
{K} => {H,O}:  6.2500 %        50.0000 %        
{O} => {H,K}:  6.2500 %        25.0000 %        
{H} => {O,Y}:  6.2500 %        33.3333 %        
{O} => {H,Y}:  6.2500 %        25.0000 %        
{Y} => {H,O}:  6.2500 %        50.0000 %        
{H} => {K,W}:  12.5000 %        66.6667 %        
{K} => {H,W}:  12.5000 %        100.0000 %        
{W} => {H,K}:  12.5000 %        50.0000 %        
{H} => {W,Y}:  6.2500 %        33.3333 %        
{W} => {H,Y}:  6.2500 %        25.0000 %        
{Y} => {H,W}:  6.2500 %        50.0000 %        
{H} => {P,W}:  6.2500 %        33.3333 %        
{P} => {H,W}:  6.2500 %        33.3333 %        
{W} => {H,P}:  6.2500 %        25.0000 %        
{H} => {I,W}:  6.2500 %        33.3333 %        
{I} => {H,W}:  6.2500 %        20.0000 %        
{W} => {H,I}:  6.2500 %        25.0000 %        
{H} => {K,Y}:  6.2500 %        33.3333 %        
{K} => {H,Y}:  6.2500 %        50.0000 %        
{Y} => {H,K}:  6.2500 %        50.0000 %        
{H} => {K,P}:  6.2500 %        33.3333 %        
{K} => {H,P}:  6.2500 %        50.0000 %        
{P} => {H,K}:  6.2500 %        33.3333 %        
{H} => {I,K}:  6.2500 %        33.3333 %        
{I} => {H,K}:  6.2500 %        20.0000 %        
{K} => {H,I}:  6.2500 %        50.0000 %        
{H} => {I,P}:  6.2500 %        33.3333 %        
{I} => {H,P}:  6.2500 %        20.0000 %        
{P} => {H,I}:  6.2500 %        33.3333 %        
{I} => {Q,S}:  6.2500 %        20.0000 %        
{Q} => {I,S}:  6.2500 %        25.0000 %        
{S} => {I,Q}:  6.2500 %        33.3333 %        
{I} => {S,X}:  6.2500 %        20.0000 %        
{S} => {I,X}:  6.2500 %        33.3333 %        
{X} => {I,S}:  6.2500 %        33.3333 %        
{I} => {J,S}:  6.2500 %        20.0000 %        
{J} => {I,S}:  6.2500 %        50.0000 %        
{S} => {I,J}:  6.2500 %        33.3333 %        
{I} => {J,X}:  6.2500 %        20.0000 %        
{J} => {I,X}:  6.2500 %        50.0000 %        
{X} => {I,J}:  6.2500 %        33.3333 %        
{I} => {P,W}:  6.2500 %        20.0000 %        
{P} => {I,W}:  6.2500 %        33.3333 %        
{W} => {I,P}:  6.2500 %        25.0000 %        
{I} => {K,P}:  6.2500 %        20.0000 %        
{K} => {I,P}:  6.2500 %        50.0000 %        
{P} => {I,K}:  6.2500 %        33.3333 %        
{I} => {K,W}:  6.2500 %        20.0000 %        
{K} => {I,W}:  6.2500 %        50.0000 %        
{W} => {I,K}:  6.2500 %        25.0000 %        
{J} => {R,X}:  6.2500 %        50.0000 %        
{R} => {J,X}:  6.2500 %        25.0000 %        
{X} => {J,R}:  6.2500 %        33.3333 %        
{J} => {W,X}:  6.2500 %        50.0000 %        
{W} => {J,X}:  6.2500 %        25.0000 %        
{X} => {J,W}:  6.2500 %        33.3333 %        
{J} => {S,X}:  6.2500 %        50.0000 %        
{S} => {J,X}:  6.2500 %        33.3333 %        
{X} => {J,S}:  6.2500 %        33.3333 %        
{J} => {R,W}:  6.2500 %        50.0000 %        
{R} => {J,W}:  6.2500 %        25.0000 %        
{W} => {J,R}:  6.2500 %        25.0000 %        
{K} => {R,Z}:  6.2500 %        50.0000 %        
{R} => {K,Z}:  6.2500 %        25.0000 %        
{Z} => {K,R}:  6.2500 %        100.0000 %        
{K} => {O,R}:  6.2500 %        50.0000 %        
{O} => {K,R}:  6.2500 %        25.0000 %        
{R} => {K,O}:  6.2500 %        25.0000 %        
{K} => {R,W}:  6.2500 %        50.0000 %        
{R} => {K,W}:  6.2500 %        25.0000 %        
{W} => {K,R}:  6.2500 %        25.0000 %        
{K} => {R,Y}:  6.2500 %        50.0000 %        
{R} => {K,Y}:  6.2500 %        25.0000 %        
{Y} => {K,R}:  6.2500 %        50.0000 %        
{K} => {O,Z}:  6.2500 %        50.0000 %        
{O} => {K,Z}:  6.2500 %        25.0000 %        
{Z} => {K,O}:  6.2500 %        100.0000 %        
{K} => {W,Z}:  6.2500 %        50.0000 %        
{W} => {K,Z}:  6.2500 %        25.0000 %        
{Z} => {K,W}:  6.2500 %        100.0000 %        
{K} => {Y,Z}:  6.2500 %        50.0000 %        
{Y} => {K,Z}:  6.2500 %        50.0000 %        
{Z} => {K,Y}:  6.2500 %        100.0000 %        
{K} => {O,W}:  6.2500 %        50.0000 %        
{O} => {K,W}:  6.2500 %        25.0000 %        
{W} => {K,O}:  6.2500 %        25.0000 %        
{K} => {O,Y}:  6.2500 %        50.0000 %        
{O} => {K,Y}:  6.2500 %        25.0000 %        
{Y} => {K,O}:  6.2500 %        50.0000 %        
{K} => {W,Y}:  6.2500 %        50.0000 %        
{W} => {K,Y}:  6.2500 %        25.0000 %        
{Y} => {K,W}:  6.2500 %        50.0000 %        
{K} => {P,W}:  6.2500 %        50.0000 %        
{P} => {K,W}:  6.2500 %        33.3333 %        
{W} => {K,P}:  6.2500 %        25.0000 %        
{K} => {Q,W}:  6.2500 %        50.0000 %        
{Q} => {K,W}:  6.2500 %        25.0000 %        
{W} => {K,Q}:  6.2500 %        25.0000 %        
{K} => {P,Q}:  6.2500 %        50.0000 %        
{P} => {K,Q}:  6.2500 %        33.3333 %        
{Q} => {K,P}:  6.2500 %        25.0000 %        
{M} => {R,X}:  6.2500 %        33.3333 %        
{R} => {M,X}:  6.2500 %        25.0000 %        
{X} => {M,R}:  6.2500 %        33.3333 %        
{M} => {W,X}:  6.2500 %        33.3333 %        
{W} => {M,X}:  6.2500 %        25.0000 %        
{X} => {M,W}:  6.2500 %        33.3333 %        
{M} => {Scotty,X}:  6.2500 %        33.3333 %        
{Scotty} => {M,X}:  6.2500 %        100.0000 %        
{X} => {M,Scotty}:  6.2500 %        33.3333 %        
{M} => {R,W}:  6.2500 %        33.3333 %        
{R} => {M,W}:  6.2500 %        25.0000 %        
{W} => {M,R}:  6.2500 %        25.0000 %        
{M} => {R,Scotty}:  6.2500 %        33.3333 %        
{R} => {M,Scotty}:  6.2500 %        25.0000 %        
{Scotty} => {M,R}:  6.2500 %        100.0000 %        
{M} => {Scotty,W}:  12.5000 %        66.6667 %        
{Scotty} => {M,W}:  12.5000 %        200.0000 %        
{W} => {M,Scotty}:  12.5000 %        50.0000 %        
{N} => {O,R}:  6.2500 %        50.0000 %        
{O} => {N,R}:  6.2500 %        25.0000 %        
{R} => {N,O}:  6.2500 %        25.0000 %        
{N} => {O,Scott}:  6.2500 %        50.0000 %        
{O} => {N,Scott}:  6.2500 %        25.0000 %        
{Scott} => {N,O}:  6.2500 %        50.0000 %        
{N} => {R,Scott}:  6.2500 %        50.0000 %        
{R} => {N,Scott}:  6.2500 %        25.0000 %        
{Scott} => {N,R}:  6.2500 %        50.0000 %        
{O} => {R,Z}:  6.2500 %        25.0000 %        
{R} => {O,Z}:  6.2500 %        25.0000 %        
{Z} => {O,R}:  6.2500 %        100.0000 %        
{O} => {R,Y}:  12.5000 %        50.0000 %        
{R} => {O,Y}:  12.5000 %        50.0000 %        
{Y} => {O,R}:  12.5000 %        100.0000 %        
{O} => {R,X}:  6.2500 %        25.0000 %        
{R} => {O,X}:  6.2500 %        25.0000 %        
{X} => {O,R}:  6.2500 %        33.3333 %        
{O} => {R,W}:  12.5000 %        50.0000 %        
{R} => {O,W}:  12.5000 %        50.0000 %        
{W} => {O,R}:  12.5000 %        50.0000 %        
{O} => {R,Scott}:  18.7500 %        75.0000 %        
{R} => {O,Scott}:  18.7500 %        75.0000 %        
{Scott} => {O,R}:  18.7500 %        150.0000 %        
{O} => {Y,Z}:  6.2500 %        25.0000 %        
{Y} => {O,Z}:  6.2500 %        50.0000 %        
{Z} => {O,Y}:  6.2500 %        100.0000 %        
{O} => {X,Y}:  6.2500 %        25.0000 %        
{X} => {O,Y}:  6.2500 %        33.3333 %        
{Y} => {O,X}:  6.2500 %        50.0000 %        
{O} => {W,Y}:  12.5000 %        50.0000 %        
{W} => {O,Y}:  12.5000 %        50.0000 %        
{Y} => {O,W}:  12.5000 %        100.0000 %        
{O} => {Scott,Y}:  12.5000 %        50.0000 %        
{Scott} => {O,Y}:  12.5000 %        100.0000 %        
{Y} => {O,Scott}:  12.5000 %        100.0000 %        
{O} => {W,X}:  6.2500 %        25.0000 %        
{W} => {O,X}:  6.2500 %        25.0000 %        
{X} => {O,W}:  6.2500 %        33.3333 %        
{O} => {Scott,X}:  6.2500 %        25.0000 %        
{Scott} => {O,X}:  6.2500 %        50.0000 %        
{X} => {O,Scott}:  6.2500 %        33.3333 %        
{O} => {Scott,W}:  12.5000 %        50.0000 %        
{Scott} => {O,W}:  12.5000 %        100.0000 %        
{W} => {O,Scott}:  12.5000 %        50.0000 %        
{R} => {X,Y}:  6.2500 %        25.0000 %        
{X} => {R,Y}:  6.2500 %        33.3333 %        
{Y} => {R,X}:  6.2500 %        50.0000 %        
{R} => {W,Y}:  12.5000 %        50.0000 %        
{W} => {R,Y}:  12.5000 %        50.0000 %        
{Y} => {R,W}:  12.5000 %        100.0000 %        
{R} => {W,X}:  6.2500 %        25.0000 %        
{W} => {R,X}:  6.2500 %        25.0000 %        
{X} => {R,W}:  6.2500 %        33.3333 %        
{R} => {S,Scott}:  6.2500 %        25.0000 %        
{S} => {R,Scott}:  6.2500 %        33.3333 %        
{Scott} => {R,S}:  6.2500 %        50.0000 %        
{W} => {Y,Z}:  6.2500 %        25.0000 %        
{Y} => {W,Z}:  6.2500 %        50.0000 %        
{Z} => {W,Y}:  6.2500 %        100.0000 %        
{Avik} => {B,D,M}:  6.2500 %        50.0000 %        
{B} => {Avik,D,M}:  6.2500 %        33.3333 %        
{D} => {Avik,B,M}:  6.2500 %        25.0000 %        
{M} => {Avik,B,D}:  6.2500 %        33.3333 %        
{AvikM} => {F,J,O}:  6.2500 %        100.0000 %        
{F} => {AvikM,J,O}:  6.2500 %        50.0000 %        
{J} => {AvikM,F,O}:  6.2500 %        50.0000 %        
{O} => {AvikM,F,J}:  6.2500 %        25.0000 %        
{B} => {D,R,S}:  6.2500 %        33.3333 %        
{D} => {B,R,S}:  6.2500 %        25.0000 %        
{R} => {B,D,S}:  6.2500 %        25.0000 %        
{S} => {B,D,R}:  6.2500 %        33.3333 %        
{D} => {H,M,Q}:  6.2500 %        25.0000 %        
{H} => {D,M,Q}:  6.2500 %        33.3333 %        
{M} => {D,H,Q}:  6.2500 %        33.3333 %        
{Q} => {D,H,M}:  6.2500 %        25.0000 %        
{E} => {N,O,R}:  6.2500 %        33.3333 %        
{N} => {E,O,R}:  6.2500 %        50.0000 %        
{O} => {E,N,R}:  6.2500 %        25.0000 %        
{R} => {E,N,O}:  6.2500 %        25.0000 %        
{E} => {N,R,Scott}:  6.2500 %        33.3333 %        
{N} => {E,R,Scott}:  6.2500 %        50.0000 %        
{R} => {E,N,Scott}:  6.2500 %        25.0000 %        
{Scott} => {E,N,R}:  6.2500 %        50.0000 %        
{E} => {L,Mukherjee,O}:  6.2500 %        33.3333 %        
{L} => {E,Mukherjee,O}:  6.2500 %        33.3333 %        
{Mukherjee} => {E,L,O}:  6.2500 %        100.0000 %        
{O} => {E,L,Mukherjee}:  6.2500 %        25.0000 %        
{E} => {L,O,R}:  6.2500 %        33.3333 %        
{L} => {E,O,R}:  6.2500 %        33.3333 %        
{O} => {E,L,R}:  6.2500 %        25.0000 %        
{R} => {E,L,O}:  6.2500 %        25.0000 %        
{E} => {L,R,Scott}:  6.2500 %        33.3333 %        
{L} => {E,R,Scott}:  6.2500 %        33.3333 %        
{R} => {E,L,Scott}:  6.2500 %        25.0000 %        
{Scott} => {E,L,R}:  6.2500 %        50.0000 %        
{E} => {Mukherjee,O,R}:  6.2500 %        33.3333 %        
{Mukherjee} => {E,O,R}:  6.2500 %        100.0000 %        
{O} => {E,Mukherjee,R}:  6.2500 %        25.0000 %        
{R} => {E,Mukherjee,O}:  6.2500 %        25.0000 %        
{E} => {Mukherjee,R,Scott}:  6.2500 %        33.3333 %        
{Mukherjee} => {E,R,Scott}:  6.2500 %        100.0000 %        
{R} => {E,Mukherjee,Scott}:  6.2500 %        25.0000 %        
{Scott} => {E,Mukherjee,R}:  6.2500 %        50.0000 %        
{E} => {O,R,Scott}:  6.2500 %        33.3333 %        
{O} => {E,R,Scott}:  6.2500 %        25.0000 %        
{R} => {E,O,Scott}:  6.2500 %        25.0000 %        
{Scott} => {E,O,R}:  6.2500 %        50.0000 %        
{F} => {J,M,O}:  6.2500 %        50.0000 %        
{J} => {F,M,O}:  6.2500 %        50.0000 %        
{M} => {F,J,O}:  6.2500 %        33.3333 %        
{O} => {F,J,M}:  6.2500 %        25.0000 %        
{F} => {J,O,W}:  6.2500 %        50.0000 %        
{J} => {F,O,W}:  6.2500 %        50.0000 %        
{O} => {F,J,W}:  6.2500 %        25.0000 %        
{W} => {F,J,O}:  6.2500 %        25.0000 %        
{F} => {M,O,W}:  6.2500 %        50.0000 %        
{M} => {F,O,W}:  6.2500 %        33.3333 %        
{O} => {F,M,W}:  6.2500 %        25.0000 %        
{W} => {F,M,O}:  6.2500 %        25.0000 %        
{F} => {I,P,Q}:  6.2500 %        50.0000 %        
{I} => {F,P,Q}:  6.2500 %        20.0000 %        
{P} => {F,I,Q}:  6.2500 %        33.3333 %        
{Q} => {F,I,P}:  6.2500 %        25.0000 %        
{H} => {I,K,P}:  6.2500 %        33.3333 %        
{I} => {H,K,P}:  6.2500 %        20.0000 %        
{K} => {H,I,P}:  6.2500 %        50.0000 %        
{P} => {H,I,K}:  6.2500 %        33.3333 %        
{I} => {J,S,X}:  6.2500 %        20.0000 %        
{J} => {I,S,X}:  6.2500 %        50.0000 %        
{S} => {I,J,X}:  6.2500 %        33.3333 %        
{X} => {I,J,S}:  6.2500 %        33.3333 %        
{I} => {K,P,W}:  6.2500 %        20.0000 %        
{K} => {I,P,W}:  6.2500 %        50.0000 %        
{P} => {I,K,W}:  6.2500 %        33.3333 %        
{W} => {I,K,P}:  6.2500 %        25.0000 %        
{K} => {R,W,Y}:  6.2500 %        50.0000 %        
{R} => {K,W,Y}:  6.2500 %        25.0000 %        
{W} => {K,R,Y}:  6.2500 %        25.0000 %        
{Y} => {K,R,W}:  6.2500 %        50.0000 %        
{K} => {O,W,Y}:  6.2500 %        50.0000 %        
{O} => {K,W,Y}:  6.2500 %        25.0000 %        
{W} => {K,O,Y}:  6.2500 %        25.0000 %        
{Y} => {K,O,W}:  6.2500 %        50.0000 %        
{M} => {R,Scotty,W}:  6.2500 %        33.3333 %        
{R} => {M,Scotty,W}:  6.2500 %        25.0000 %        
{Scotty} => {M,R,W}:  6.2500 %        100.0000 %        
{W} => {M,R,Scotty}:  6.2500 %        25.0000 %        
{N} => {O,R,Scott}:  6.2500 %        50.0000 %        
{O} => {N,R,Scott}:  6.2500 %        25.0000 %        
{R} => {N,O,Scott}:  6.2500 %        25.0000 %        
{Scott} => {N,O,R}:  6.2500 %        50.0000 %        
{O} => {R,Y,Z}:  6.2500 %        25.0000 %        
{R} => {O,Y,Z}:  6.2500 %        25.0000 %        
{Y} => {O,R,Z}:  6.2500 %        50.0000 %        
{Z} => {O,R,Y}:  6.2500 %        100.0000 %        
{O} => {R,X,Y}:  6.2500 %        25.0000 %        
{R} => {O,X,Y}:  6.2500 %        25.0000 %        
{X} => {O,R,Y}:  6.2500 %        33.3333 %        
{Y} => {O,R,X}:  6.2500 %        50.0000 %        
{O} => {R,W,X}:  6.2500 %        25.0000 %        
{R} => {O,W,X}:  6.2500 %        25.0000 %        
{W} => {O,R,X}:  6.2500 %        25.0000 %        
{X} => {O,R,W}:  6.2500 %        33.3333 %        
{O} => {R,Scott,W}:  12.5000 %        50.0000 %        
{R} => {O,Scott,W}:  12.5000 %        50.0000 %        
{Scott} => {O,R,W}:  12.5000 %        100.0000 %        
{W} => {O,R,Scott}:  12.5000 %        50.0000 %        
{O} => {Scott,W,X}:  6.2500 %        25.0000 %        
{Scott} => {O,W,X}:  6.2500 %        50.0000 %        
{W} => {O,Scott,X}:  6.2500 %        25.0000 %        
{X} => {O,Scott,W}:  6.2500 %        33.3333 %        
{R} => {W,X,Y}:  6.2500 %        25.0000 %        
{W} => {R,X,Y}:  6.2500 %        25.0000 %        
{X} => {R,W,Y}:  6.2500 %        33.3333 %        
{Y} => {R,W,X}:  6.2500 %        50.0000 %        
